municipality,ever_treated,treatment,year,gdvote,trarrprop,logdist
7,FALSE,0,2012,7.982288300991058,0,5.4809722900390625
7,FALSE,0,2013,7.277167588472366,0,5.4809722900390625
7,FALSE,0,2015,6.363300234079361,0,5.4809722900390625
7,FALSE,0,2016,7.6177895069122314,0,5.4809722900390625
3,FALSE,0,2012,2.5829175487160683,0,5.7635908126831055
3,FALSE,0,2013,4.2843978852033615,0,5.7635908126831055
3,FALSE,0,2015,2.7149321511387825,0,5.7635908126831055
3,FALSE,0,2016,3.6940686404705048,0,5.7635908126831055
4,FALSE,0,2012,4.954954981803894,0,4.466941833496094
4,FALSE,0,2013,4.76190485060215,0,4.466941833496094
4,FALSE,0,2015,4.878048598766327,0,4.466941833496094
4,FALSE,0,2016,5.988023802638054,0,4.466941833496094
5,FALSE,0,2012,2.8652139008045197,0,5.409008502960205
5,FALSE,0,2013,3.049321286380291,0,5.409008502960205
5,FALSE,0,2015,3.159048780798912,0,5.409008502960205
5,FALSE,0,2016,4.604596644639969,0,5.409008502960205
2,TRUE,0,2012,3.57142873108387,0,2.745988130569458
2,TRUE,0,2013,4.6875,0,2.745988130569458
2,TRUE,0,2015,3.2786883413791656,0,2.745988130569458
2,TRUE,1,2016,5.000000074505806,5,2.745988130569458
6,FALSE,0,2012,18.83852630853653,0,5.5373735427856445
6,FALSE,0,2013,11.304347962141037,0,5.5373735427856445
6,FALSE,0,2015,6.129032373428345,0,5.5373735427856445
6,FALSE,0,2016,9.981851279735565,0,5.5373735427856445
8,FALSE,0,2012,4.16233092546463,0,5.194622039794922
8,FALSE,0,2013,4.585365951061249,0,5.194622039794922
8,FALSE,0,2015,5.727376788854599,0,5.194622039794922
8,FALSE,0,2016,5.976095795631409,0,5.194622039794922
9,FALSE,0,2012,2.134804427623749,0,5.676205635070801
9,FALSE,0,2013,3.07463426142931,0,5.676205635070801
9,FALSE,0,2015,2.376868389546871,0,5.676205635070801
9,FALSE,0,2016,3.4011784940958023,0,5.676205635070801
10,FALSE,0,2012,4.732690751552582,0,4.639281749725342
10,FALSE,0,2013,3.9792388677597046,0,4.639281749725342
10,FALSE,0,2015,5.515832453966141,0,4.639281749725342
10,FALSE,0,2016,6.358381360769272,0,4.639281749725342
11,FALSE,0,2012,3.57142873108387,0,4.937060356140137
11,FALSE,0,2013,7.58928582072258,0,4.937060356140137
11,FALSE,0,2015,4.494382068514824,0,4.937060356140137
11,FALSE,0,2016,4.16666679084301,0,4.937060356140137
12,FALSE,0,2012,12.798789143562317,0,4.7780303955078125
12,FALSE,0,2013,9.055689722299576,0,4.7780303955078125
12,FALSE,0,2015,7.397504150867462,0,4.7780303955078125
12,FALSE,0,2016,7.668145000934601,0,4.7780303955078125
13,FALSE,0,2012,3.934871032834053,0,5.127825736999512
13,FALSE,0,2013,3.3112581819295883,0,5.127825736999512
13,FALSE,0,2015,2.5423727929592133,0,5.127825736999512
13,FALSE,0,2016,5.4572273045778275,0,5.127825736999512
14,FALSE,0,2012,0.7941009476780891,0,5.609581470489502
14,FALSE,0,2013,0.48250905238091946,0,5.609581470489502
14,FALSE,0,2015,0,0,5.609581470489502
14,FALSE,0,2016,0,0,5.609581470489502
15,FALSE,0,2012,3.785426914691925,0,5.785638809204102
15,FALSE,0,2013,4.719975590705872,0,5.785638809204102
15,FALSE,0,2015,3.7580564618110657,0,5.785638809204102
15,FALSE,0,2016,5.855599790811539,0,5.785638809204102
16,FALSE,0,2012,1.6154246404767036,0,5.5509033203125
16,FALSE,0,2013,2.498248964548111,0,5.5509033203125
16,FALSE,0,2015,1.8068155273795128,0,5.5509033203125
16,FALSE,0,2016,2.9073815792798996,0,5.5509033203125
17,FALSE,0,2012,3.999999910593033,0,4.384772777557373
17,FALSE,0,2013,2.3622047156095505,0,4.384772777557373
17,FALSE,0,2015,1.513240858912468,0,4.384772777557373
17,FALSE,0,2016,2.503128908574581,0,4.384772777557373
18,FALSE,0,2012,1.2195121496915817,0,5.536231517791748
18,FALSE,0,2013,1.6675489023327827,0,5.536231517791748
18,FALSE,0,2015,1.4037773944437504,0,5.536231517791748
18,FALSE,0,2016,2.1099554374814034,0,5.536231517791748
19,FALSE,0,2012,11.290322244167328,0,5.876250267028809
19,FALSE,0,2013,9.23076942563057,0,5.876250267028809
