end_date,state,days_left,pollster,sample_size,Captain America,Iron Man
2020-10-27,MA,7,SurveyMonkey,5647,51,40.9
2020-10-20,TN,14,SurveyMonkey,4332,44.74,51.48
2020-07-01,WI,125,Morning Consult,797,48,27
2020-11-01,MI,2,Change Research,383,48,46
2020-10-27,IA,7,SurveyMonkey,2918,45,38.1
2020-08-07,NC,88,Pulse Opinion Research,750,40,44
2020-06-17,AZ,139,Redfield & Wilton Strategies,865,56,43
2020-08-18,WI,77,Morning Consult,797,42,47.5
2020-10-13,IN,21,SurveyMonkey,3185,55,40
2020-09-27,GA,37,Hart Research Associates,400,52,38
2020-10-21,MI,13,SurveyMonkey,6607,50,44
2020-06-19,WI,137,Morning Consult,797,47,49
2020-10-02,PA,32,YouGov,1187,48,39
2020-08-31,DE,64,SurveyMonkey,348,42.5,47
2020-10-06,GA,28,U. Georgia SPIA,1106,47,28
2020-10-31,FL,3,Siena College/NYT Upshot,1451,49,42
2020-10-11,CO,23,Morning Consult,837,51,43
2020-10-20,MI,14,Morning Consult,1717,50,37
2020-07-07,AZ,119,OH Predictive Insights / MBQF,600,36.4,47
2020-10-10,PA,24,Redfield & Wilton Strategies,1145,44,50
2020-09-02,IA,62,Opinion Insight,800,43,32
2020-10-04,AZ,30,Change Research,296,42,46
2020-10-27,MT,7,SurveyMonkey,1401,44,52
2020-10-26,NC,8,Swayable,396,46,34
2020-10-06,AZ,28,Latino Decisions,600,58,35
2020-10-28,WY,6,SurveyMonkey,739,47,43
2020-10-16,NY,18,SurveyMonkey,9878,41,56
2020-11-02,FL,1,The Political Matrix/The Listener Group,966,50,45
2020-10-16,AR,18,SurveyMonkey,1577,44,44
2020-10-22,VA,12,SurveyMonkey,6665,50,41.36
2020-10-22,AK,12,SurveyMonkey,989,54,38
2020-10-30,NY,4,SurveyMonkey,5769,51,38
2020-11-02,MA,1,SurveyMonkey,3653,55,34
2020-10-19,GA,15,Emerson College Polling Society,506,45.8,39
2020-10-28,MI,6,Wick,1000,47,38
2020-10-20,IL,14,SurveyMonkey,7436,47.6,49
2020-10-26,AZ,8,Swayable,304,49,39
2020-10-16,NJ,18,SurveyMonkey,4817,50,36
2020-10-22,SC,12,SurveyMonkey,4255,39,50
2020-10-19,WI,15,Ipsos,663,53,37.4
2020-10-20,PA,14,SurveyMonkey,9131,43,43
2020-09-19,PA,45,Hart Research Associates,400,52,46
2020-08-31,NE,64,SurveyMonkey,560,49,48.3
2020-09-30,VA,34,SurveyMonkey,2882,47,35
2020-10-19,PA,15,SurveyMonkey,8803,42,31.1
2020-10-30,FL,4,Emerson College Polling Society,849,55,12.04
2020-10-23,LA,11,SurveyMonkey,2548,49,48.4
2020-10-21,GA,13,Landmark Communications,500,48,35.5
2020-10-18,KY,16,SurveyMonkey,2788,35,50.31
2020-09-04,WI,60,Morning Consult,775,60,31
2020-10-14,AK,20,SurveyMonkey,796,51,31.78
2020-06-21,WI,135,Morning Consult,797,53.55,37.8
2020-10-17,VT,17,SurveyMonkey,759,41,45
2020-07-21,NC,105,Redfield & Wilton Strategies,919,44,49.6
2020-09-30,SC,34,SurveyMonkey,1833,42,44.41
2020-07-31,AR,95,SurveyMonkey,747,59,35.52
2020-11-01,PA,2,aytm.com,340,45,41
2020-10-27,OH,7,Quinnipiac,1186,59,33
2020-07-31,FL,95,SurveyMonkey,13945,51.23,44
2020-10-26,PA,8,Swayable,491,50,37
2020-10-19,VA,15,SurveyMonkey,5912,46.6,48
2020-08-31,AL,64,SurveyMonkey,1220,50,40.1
2020-10-24,NV,10,SurveyMonkey,2967,54.19,39
2020-09-21,GA,43,Siena College/NYT Upshot,523,37.8,44
2020-10-31,MA,3,SurveyMonkey,3462,48,46
2020-10-18,UT,16,SurveyMonkey,2187,40,46
2020-10-27,ID,7,SurveyMonkey,1758,43.78,41.77
2020-09-02,TX,62,University of Texas at Tyler,901,48,36
2020-10-14,NH,20,SurveyMonkey,1153,51,33
2020-09-03,FL,61,Trafalgar Group,1022,47,38
2020-08-31,OK,64,SoonerPoll.com,379,51,41
2020-10-26,FL,8,YouGov,1200,41.43,39
2020-08-16,OH,79,Morning Consult,1744,43,44.12
2020-11-01,MN,2,SurveyMonkey,2727,47,36
2020-10-18,AL,16,SurveyMonkey,2710,55,36
2020-10-28,MO,6,SurveyMonkey,4759,54.1,36.66
2020-11-01,SC,2,Swayable,426,45,46
2020-06-30,WV,126,SurveyMonkey,264,38.5,49
2020-11-01,IN,2,Swayable,264,49.63,46.7
2020-09-02,OH,62,Rasmussen (Pulse Opinion Research),1000,48,45
2020-09-19,FL,45,Hart Research Associates,400,36,47
2020-09-30,MN,34,SurveyMonkey,2808,55,32
2020-10-18,DE,16,SurveyMonkey,989,38,45
2020-10-23,FL,11,SurveyMonkey,14035,47,36
2020-10-19,MS,15,SurveyMonkey,1442,50,49
2020-10-04,NC,30,Change Research,396,50,34.78
2020-10-13,VA,21,SurveyMonkey,4522,51.5,47
2020-10-13,TX,21,SurveyMonkey,13081,45,41
2020-09-16,PA,48,Ipsos,611,53,44
2020-10-18,MI,16,Zia Poll,2851,45.37,43
2020-10-20,IN,14,SurveyMonkey,4121,49,46
2020-07-26,FL,100,Change Research,685,58,29
2020-10-29,KS,5,SurveyMonkey,2569,45,39
2020-10-28,FL,6,Monmouth U.,509,72,28
2020-11-02,MT,1,Change Research,920,56,35.7
2020-07-31,VT,95,SurveyMonkey,368,44,39
2020-10-18,NC,16,East Carolina University,1155,44,39.2
2020-09-01,ID,63,Spry Strategies,600,49.2,42
2020-10-24,CA,10,SurveyMonkey,22268,37,43
2020-10-19,WI,15,Ipsos,663,58,24.770000000000003
2020-10-14,CO,20,SurveyMonkey,4345,52.59,37
2020-10-15,SD,19,SurveyMonkey,723,48,49.4
2020-06-30,NV,126,SurveyMonkey,609,72,26
2020-10-04,PA,30,Monmouth U.,500,50.97,43
2020-09-22,MI,42,Trafalgar Group,1015,46,30
2020-06-10,WI,146,Morning Consult,797,39,44
2020-08-19,WI,76,Redfield & Wilton Strategies,672,47,37
2020-08-22,WI,73,Morning Consult,797,44,43
2020-09-03,MI,61,Rasmussen (Pulse Opinion Research),1000,48.3,47.1
2020-07-10,TX,116,YouGov,1185,52,43
2020-09-19,MI,45,Data for Progress,455,60.21,37
2020-06-08,WI,148,Morning Consult,797,62,34
2020-10-31,TX,3,Morning Consult,3267,50,39
2020-10-28,WY,6,University of Wyoming,614,53,47
2020-10-24,NJ,10,Rutgers-Eagleton,872,64,19.4
2020-10-13,NC,21,Ipsos,660,42.83,40.76
2020-10-27,ND,7,SurveyMonkey,654,46.95,43
2020-08-09,WI,86,Change Research,384,31,54
2020-07-12,AZ,114,Change Research,345,40,47
2020-09-24,WI,40,Marist,727,42,42
2020-10-23,TN,11,SurveyMonkey,4565,47.4,44
2020-10-15,PA,19,SurveyMonkey,7804,47,37.4
2020-09-08,NC,56,Rasmussen (Pulse Opinion Research),1000,53,47
2020-10-26,MN,8,Gravis Marketing,657,45.31,44
2020-11-01,UT,2,SurveyMonkey,1435,56,44
2020-09-21,VA,43,Christopher Newport U.,796,44.8,44
2020-07-31,WA,95,SurveyMonkey,7691,39,52
2020-09-04,WI,60,Morning Consult,775,39,44
2020-07-31,ME,95,SurveyMonkey,733,45.74,38
2020-09-20,GA,44,U. Georgia SPIA,1150,53,43
2020-07-31,TN,95,SurveyMonkey,2481,48,34.38
2020-10-30,DC,4,SurveyMonkey,501,50,49
2020-10-17,AK,17,SurveyMonkey,941,45.9,49
2020-08-30,PA,65,Morning Consult,2158,49,47.1
2020-10-20,CT,14,SurveyMonkey,3105,50.52,42
2020-10-20,GA,14,Citizen Data,1000,52.5,32
2020-10-24,WA,10,SurveyMonkey,7371,46,42
2020-09-02,MI,62,Opinion Insight,800,48.8,48
2020-09-20,FL,44,Change Research,702,65,20.549999999999997
2020-10-16,MA,18,SurveyMonkey,4325,34.48,42
2020-09-16,NJ,48,DKC Analytics,501,45,39
2020-10-02,PA,32,Siena College/NYT Upshot,706,51,43
2020-09-16,KS,48,co/efficient,794,42,50
2020-09-16,AZ,48,Redfield & Wilton Strategies,855,49.6,40.5
2020-09-17,IA,47,Selzer,658,36,47.4
2020-08-31,WI,64,Morning Consult,819,40,32
2020-08-04,AZ,91,OH Predictive Insights / MBQF,603,48.1,49
2020-07-31,CT,95,SurveyMonkey,1360,49,44
2020-10-21,OH,13,SurveyMonkey,7033,46,45
2020-10-13,CO,21,SurveyMonkey,4111,40,35
2020-10-18,SC,16,SurveyMonkey,3666,55,32.5
2020-08-09,ME,86,Critical Insights,453,45,42
2020-10-19,MS,15,SurveyMonkey,1442,42,43
2020-06-30,KY,126,SurveyMonkey,596,45.2,46.6
2020-10-12,CO,22,SurveyMonkey,3875,40,48
2020-08-18,MI,77,Redfield & Wilton Strategies,812,41,40
2020-10-27,NC,7,Gravis Marketing,614,30,56
2020-09-20,ME,44,Suffolk,500,50,36
2020-11-01,OR,2,SurveyMonkey,3252,53,36.82
2020-10-03,AZ,31,Patinkin Research Strategies,604,48,49
2020-09-14,PA,50,Redfield & Wilton Strategies,1036,47,46.2
2020-10-12,CO,22,SurveyMonkey,3875,45,43
2020-10-30,AZ,4,Data Orbital,550,52,46
2020-10-12,NV,22,SurveyMonkey,1915,45,38.96
2020-09-18,TX,46,YouGov,1140,53,44
2020-10-20,UT,14,SurveyMonkey,2279,48,39.2
2020-10-31,IL,3,SurveyMonkey,5013,49,49.8
2020-10-27,MS,7,SurveyMonkey,1900,58,39
2020-09-21,WI,43,YouGov,664,45,40
2020-10-18,ME,16,SurveyMonkey,1389,50,36
2020-08-18,AZ,77,Redfield & Wilton Strategies,856,43,53.49
2020-06-30,LA,126,SurveyMonkey,1134,46,49
2020-10-21,DC,13,SurveyMonkey,825,50.8,44
2020-07-10,FL,116,YouGov,1206,43,41.69
2020-11-02,WI,1,SurveyMonkey,2814,47,44
2020-10-22,LA,12,U. New Orleans,755,46,50
2020-10-31,PA,3,Morning Consult,2686,48,44.95
2020-10-29,NE,5,SurveyMonkey,1678,72,27
2020-09-28,NH,36,U. New Hampshire,972,47.3,42.17
